numb,name,author,performer,Link to the lyrics,YouTube link,Spotify link
1,Апологія лицарства,Ліна Костенко,Валентина Славінська,https://www.pisni.org.ua/songs/49134.html,https://youtu.be/ltYwM7BTkKE?si=IJMuhojMMohllLu1,,
2,Без бою,,гурт Океан Ельзи,https://www.pisni.org.ua/songs/621348.html,https://youtu.be/bbkEVJgrBUs?si=26rZWaKinzZIM_H5,,
3,Берег ріки,Олександр Шевченко,Пікардійська терція,https://www.pisni.org.ua/songs/617879.html,https://youtu.be/365ao0LrwOc?si=1aq93VYQ85J6K-Su,https://open.spotify.com/track/28Az8U4EaRfbVmZhzcdWnW?si=7Nuvon6eSnWQEL83Hh24mQ
4,Бери своє,Антитіла,Антитіла,https://www.pisni.org.ua/songs/9173888.html,https://youtu.be/2gtbOXUb-Kg?si=49WnJuzjEZIzwa8i,https://open.spotify.com/track/6ExyQDQKONfMUatH2bsdAL?si=BMtRWdxjQmSuKGIhcIKg8w
5,Била мене мати,Народна пісня,,https://www.pisni.org.ua/songs/5144807.html,https://youtu.be/kZq0cfllCsc?si=7BsDv6gnQvrPOZlx,https://open.spotify.com/track/1sRegZL0aLKMX7gVLxHjU5?si=S8wAbwy7TXWJi1K30YGBkw
6,Будувуду,,Antytila,https://www.pisni.org.ua/songs/997989.html,https://www.youtube.com/watch?v=zwNFCqtGkRQ,https://open.spotify.com/track/6m9ZupUdW8vFXv0F1aeZ8v?si=SZqfVZLORCSsl9l-mRZRAQ
7,Будь іскрою,Соломія Мричко,,https://www.pisni.org.ua/songs/5248900.html,https://youtu.be/aTyyutDeTps?si=GiIZhFY9p5YOZeNs,, 
8,Буде нам з Тобою що згадати,,"Тарас Чубай, Скрябін (альбом ""Наші партизани"")",https://www.pisni.org.ua/songs/212292.html,https://www.youtube.com/watch?v=ZAwoWZtwfRk,https://open.spotify.com/track/4ZFlQgMqeUzYp0RdDnvnMA?si=NETOhPHhQZOSKPU_bbjkmw
9,Бумдіяра,пластова,,https://www.pisni.org.ua/songs/21251.html,https://youtu.be/wUXxuPu4jIk?si=VHofcPYY4HCq1PZl,,
10,Василина,Анатолій Драгомирецький,Золота Карпат,https://www.pisni.org.ua/songs/241616.html,https://youtu.be/iYePSq0UOfA?si=JucB5TPAZbW3JMG8,https://open.spotify.com/track/4s6XwClNj3YbNKJW8qUkJZ?si=tP1ZYknzT4mwip9dvPRBCg
11,"Віє вітер , віє буйний",Народна,,https://www.pisni.org.ua/songs/583900.html,https://youtu.be/W6HTcNUvoI8?si=TR_fJ51VTHqPY4-u,https://open.spotify.com/track/2q0zH76acr3HN0eMpgxHb0?si=r93yfJqoSquSVpotjingaw
12,Вода,,ТНМК,https://www.pisni.org.ua/songs/310467.html,https://youtu.be/IH7CSrH0aeQ,https://open.spotify.com/track/0tJZsZYWfyXKxxHn7knRgM?si=SK6vixybSUuQv72O36qaPw
13,Воїни світла,Сергій Міхалок,Ляпис Трубецький,https://www.pisni.org.ua/songs/8453552.html,https://youtu.be/ayDNTDcZok8?si=_8MX8unfyq5TJvRT,https://open.spotify.com/track/64hFcUEAhSODWUm4ZtqEaH?si=kAyfppAwQBaA01ynHKCFbg
